2026-07-02T09:56:43.463557+00:00 | 1 actions | ['pruned_queue_overflow removed=10 target<=30']
2026-07-02T10:18:39.764192+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T10:23:54.230818+00:00 | 2 actions | ['pruned_queue_overflow removed=10 target<=30', 'haven_star_chart.rebuilt']
2026-07-02T11:18:32.733904+00:00 | 2 actions | ['pruned_queue_overflow removed=10 target<=30', 'haven_star_chart.rebuilt']
2026-07-02T11:22:01.150062+00:00 | 2 actions | ['pruned_queue_overflow removed=10 target<=30', 'haven_star_chart.rebuilt']
2026-07-02T17:12:47.051487+00:00 | 2 actions | ['pruned_queue_overflow removed=10 target<=30', 'haven_star_chart.rebuilt']
2026-07-02T17:20:26.049956+00:00 | 2 actions | ['pruned_queue_overflow removed=22 target<=30', 'haven_star_chart.rebuilt']
2026-07-02T17:20:48.534860+00:00 | 2 actions | ['pruned_queue_overflow removed=15 target<=30', 'haven_star_chart.rebuilt']
2026-07-02T17:20:49.069664+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T17:20:55.646405+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T17:21:01.765602+00:00 | 2 actions | ['sentinel.interval_seconds=180', 'planting.enabled=false (lattice fail)']
2026-07-02T17:21:02.026516+00:00 | 0 actions | []
2026-07-02T17:21:20.184493+00:00 | 3 actions | ['sentinel.interval_seconds=300', 'planting.enabled=true (lattice OK)', 'haven_star_chart.rebuilt']
2026-07-02T18:12:48.778806+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T18:13:08.354381+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T18:24:39.771839+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T18:24:40.349047+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T18:24:58.292496+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T19:46:51.075740+00:00 | 2 actions | ['hb_light_instances=1 (ollama offline)', 'haven_star_chart.rebuilt']
2026-07-02T20:06:37.970846+00:00 | 3 actions | ['pruned_queue_overflow removed=8 target<=30', 'hb_light_instances=2', 'haven_star_chart.rebuilt']
2026-07-02T20:06:52.021117+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:06:52.553246+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:07:14.763384+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:18:18.671961+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:18:19.325071+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:18:39.054315+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:46:54.164747+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T20:47:13.329419+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T21:21:49.612361+00:00 | 2 actions | ['clawhub_expect.count_published=38', 'haven_star_chart.rebuilt']
2026-07-02T21:21:50.184589+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T21:22:06.613863+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T21:46:39.276472+00:00 | 2 actions | ['sentinel.interval_seconds=180', 'planting.enabled=false (lattice fail)']
2026-07-02T21:46:51.975305+00:00 | 0 actions | []
2026-07-02T21:54:31.196129+00:00 | 0 actions | []
2026-07-02T21:54:53.731432+00:00 | 3 actions | ['sentinel.interval_seconds=300', 'planting.enabled=true (lattice OK)', 'haven_star_chart.rebuilt']
2026-07-02T22:25:10.694829+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T22:25:11.269184+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T22:25:28.207314+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T22:47:59.829643+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T22:48:19.652787+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T23:28:47.521550+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T23:28:48.061977+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T23:29:07.294209+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T23:47:02.940233+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-02T23:48:53.491669+00:00 | 2 actions | ['pruned_queue_overflow removed=4 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T00:33:24.141998+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T00:33:24.680774+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T00:33:41.760804+00:00 | 2 actions | ['pruned_queue_overflow removed=3 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T00:46:40.871875+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T00:47:01.725936+00:00 | 2 actions | ['pruned_queue_overflow removed=6 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T01:37:38.258273+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T01:37:38.842734+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T01:37:57.433678+00:00 | 2 actions | ['pruned_queue_overflow removed=9 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T01:46:39.853159+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T01:46:59.067523+00:00 | 2 actions | ['pruned_queue_overflow removed=10 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T02:41:41.408422+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T02:41:41.982925+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T02:42:00.247687+00:00 | 2 actions | ['pruned_queue_overflow removed=15 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T02:46:49.252581+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T02:47:13.409603+00:00 | 2 actions | ['pruned_queue_overflow removed=11 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T03:45:59.252059+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:45:59.853244+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:46:22.000285+00:00 | 2 actions | ['pruned_queue_overflow removed=21 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T03:46:38.942237+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:47:04.606636+00:00 | 2 actions | ['pruned_queue_overflow removed=9 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T03:52:35.182545+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:52:35.766367+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:52:54.817142+00:00 | 2 actions | ['pruned_queue_overflow removed=21 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T03:55:36.611470+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:55:37.707106+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T03:56:07.779033+00:00 | 2 actions | ['pruned_queue_overflow removed=17 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T04:58:56.398133+00:00 | 1 actions | ['haven_star_chart.rebuilt']
2026-07-03T07:31:01.696358+00:00 | 2 actions | ['pruned_queue_overflow removed=17 target<=30', 'haven_star_chart.rebuilt']
2026-07-03T23:34:48.521734+00:00 | 3 actions | ['pruned_queue_overflow removed=28 target<=30', 'hb_light_instances=1 (ollama offline)', 'haven_star_chart.rebuilt']
2026-07-03T23:47:47.124067+00:00 | 3 actions | ['pruned_queue_overflow removed=28 target<=30', 'hb_light_instances=1 (ollama offline)', 'haven_star_chart.rebuilt']
2026-07-04T00:34:40.088369+00:00 | 4 actions | ['clawhub_expect.count_published=39', 'pruned_queue_overflow removed=28 target<=30', 'hb_light_instances=2', 'haven_star_chart.rebuilt']
2026-07-04T01:53:57.558243+00:00 | 2 actions | ['pruned_queue_overflow removed=28 target<=30', 'haven_star_chart.rebuilt']
2026-07-04T02:23:53.397228+00:00 | 2 actions | ['pruned_queue_overflow removed=28 target<=30', 'haven_star_chart.rebuilt']
2026-07-04T03:11:04.600802+00:00 | 2 actions | ['pruned_queue_overflow removed=28 target<=30', 'haven_star_chart.rebuilt']
2026-07-04T03:11:37.650935+00:00 | 2 actions | ['pruned_queue_overflow removed=28 target<=30', 'haven_star_chart.rebuilt']
2026-07-04T03:34:26.945624+00:00 | 3 actions | ['clawhub_expect.count_published=40', 'pruned_queue_overflow removed=28 target<=30', 'haven_star_chart.rebuilt']
2026-07-04T03:35:25.446864+00:00 | 2 actions | ['pruned_queue_overflow removed=28 target<=30', 'haven_star_chart.rebuilt']
