title,spotify_album_id,spotify_url,upc,track_count
Wasteland Sessions,1PnOajhrqFRVwYBpkPSTn9,https://open.spotify.com/album/1PnOajhrqFRVwYBpkPSTn9,,11
Math in the Marrow,03bLkjF4xhJ64Uh3Je0Iah,https://open.spotify.com/album/03bLkjF4xhJ64Uh3Je0Iah,,1
Midnight Frequency,03oi065qARTVnshQ9E9z04,https://open.spotify.com/album/03oi065qARTVnshQ9E9z04,,17
Zero,04X8iNXKnvU40jCgY1n1cl,https://open.spotify.com/album/04X8iNXKnvU40jCgY1n1cl,,1
Kingdom Under Teeth,06iYuRomgh4EQgYXmcWeeF,https://open.spotify.com/album/06iYuRomgh4EQgYXmcWeeF,,1
Art of War Codex,6YWjA49tiYLY8WaEa6IOq3,https://open.spotify.com/album/6YWjA49tiYLY8WaEa6IOq3,,16
Kenzie Jade Rooted,0JcEisZRRpS6LgqWp5UwJ7,https://open.spotify.com/album/0JcEisZRRpS6LgqWp5UwJ7,,12
Virtually Lethal Volume 2,5pLa0IHqOiYanSVgWfYM0t,https://open.spotify.com/album/5pLa0IHqOiYanSVgWfYM0t,,16
Virtually Lethal,6OdhN6UNEN1GVMtlMVh9V2,https://open.spotify.com/album/6OdhN6UNEN1GVMtlMVh9V2,,18
Kenzie Jade Unfiltered,0OZl0jQCrrqdyhxi7xcXWv,https://open.spotify.com/album/0OZl0jQCrrqdyhxi7xcXWv,,10
Street Legend Volume 6,36XTI5nDYePiiLTVnEtuLS,https://open.spotify.com/album/36XTI5nDYePiiLTVnEtuLS,,21
Trauma Codex Volume 2,0cDhiBiwG7bhkV6wVcSPyZ,https://open.spotify.com/album/0cDhiBiwG7bhkV6wVcSPyZ,,13
After The Shocks,1bi1Nw745MU3ULopvpnOeS,https://open.spotify.com/album/1bi1Nw745MU3ULopvpnOeS,,5
After The Shocks Volume 2,6Zw0brXCejHCHRw10N6hFt,https://open.spotify.com/album/6Zw0brXCejHCHRw10N6hFt,,6
Warning Bells,2vWr24HrNs4jEiIbP7u7qh,https://open.spotify.com/album/2vWr24HrNs4jEiIbP7u7qh,,1
Fire That Grows,23q0LCWmWufmHiLxnrPfMA,https://open.spotify.com/album/23q0LCWmWufmHiLxnrPfMA,,1
Light I Keep,6p391dpEQdJxjpt2Drj6Yd,https://open.spotify.com/album/6p391dpEQdJxjpt2Drj6Yd,,1
Fake Sky,1E4eqKGgck6z8S7s8vv83k,https://open.spotify.com/album/1E4eqKGgck6z8S7s8vv83k,,1
Vent,6yxINwJTgTCLpsOdT6j1vW,https://open.spotify.com/album/6yxINwJTgTCLpsOdT6j1vW,,1
Never Thought I&#x27;d Come Up Hits Vol 1,7MQgxYjRAlOe9TRDkRrEDW,https://open.spotify.com/album/7MQgxYjRAlOe9TRDkRrEDW,,9
Coastal,6PaUXpPhejlidO3xI3r5vR,https://open.spotify.com/album/6PaUXpPhejlidO3xI3r5vR,,1
It Is What It Is,5AFBg0H0rxqJ9sAdGSmDun,https://open.spotify.com/album/5AFBg0H0rxqJ9sAdGSmDun,,1
